species_lump,latitude,longitude,observation
Jania verrucosa,32.66947174,-117.2455,1
Jania verrucosa,32.66947174,-117.2455,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
Jania verrucosa,32.71913147,-117.25683,1
